city,state,geoid,portal_cameras,osm_flock_in_limits,ratio,population,median_income,pct_black,pct_hispanic,portal_updated
Delaware,OH,3921434,17,16,0.9411764705882353,41926.0,86387.0,4.839479082192434,3.5300290988885177,2026-09-23
Milford,OH,3950176,10,10,1.0,6556.0,69141.0,2.12019524100061,0.5033557046979866,2026-09-22
University Heights,OH,3978932,18,10,0.5555555555555556,13649.0,91960.0,22.873470583925563,2.1393508681954723,2026-09-22
Willard,OH,3985232,2,2,1.0,6189.0,51846.0,0.0,18.209726934884472,2026-09-22
Olmsted Falls,OH,3958422,8,5,0.625,8670.0,92416.0,1.4302191464821223,5.467128027681661,2026-09-23
Ontario,CA,0653896,126,121,0.9603174603174603,176326.0,78070.0,5.168267867472749,70.21312795617209,2026-09-23
Orange,CA,0653980,139,53,0.381294964028777,138728.0,109335.0,1.298223862522346,39.05195778790151,2026-09-23
Orange,VA,5159496,4,5,1.25,4919.0,59196.0,28.92864403334011,2.0126041878430576,2026-09-22
Oregon,OH,3958730,12,8,0.6666666666666666,19896.0,73883.0,1.3821873743466024,9.836147969441093,2026-09-23
Oro Valley,AZ,0451600,20,22,1.1,47053.0,101394.0,1.651329352007311,14.436911567806517,2026-09-22
Orono,MN,2748580,2,4,2.0,8223.0,173209.0,0.06080505898090721,0.26754225951599175,2026-09-22
Oroville,CA,0654386,64,34,0.53125,20283.0,46362.0,3.6828871468717645,15.086525661884338,2026-09-23
Orting,WA,5352005,10,33,3.3,8898.0,114458.0,0.584400988986289,8.642391548662621,2026-09-23
Ottawa,IL,1756926,33,12,0.36363636363636365,18708.0,67940.0,3.1590763309813985,10.626469959375669,2026-09-22
Ottawa,KS,2053550,4,4,1.0,12615.0,61927.0,0.7847800237812128,4.645263575108997,2026-09-23
Overland,MO,2955550,15,26,1.7333333333333334,15838.0,51749.0,22.193458770046725,14.427326682661953,2026-09-22
Oviedo,FL,1253575,7,0,0.0,39552.0,116764.0,5.774676375404531,22.299757281553397,2026-08-26
Ovilla,TX,4854444,1,6,6.0,4077.0,109130.0,10.179053225410842,12.092224675006133,2026-09-22
Owatonna,MN,2749300,8,11,1.375,26400.0,78295.0,4.215909090909091,7.306818181818182,2026-09-23
Oxford,GA,1358744,3,3,1.0,2033.0,51995.0,26.955238563698966,6.935563207083129,2026-09-22
Oxnard,CA,0654652,19,42,2.210526315789474,202279.0,90409.0,1.8182806915201282,75.79877298187158,2026-09-22
Pacific Grove,CA,0654848,12,11,0.9166666666666666,15098.0,102553.0,0.8213008345476221,11.286263081202808,2026-09-23
Pacifica,CA,0654806,10,11,1.1,38048.0,151849.0,1.9974768713204374,18.258515559293524,2026-09-22
Page,AZ,0451810,10,10,1.0,7444.0,79521.0,0.738850080601827,6.233207952713594,2026-09-22
Palatine,IL,1757225,28,37,1.3214285714285714,67223.0,93383.0,4.342263808517918,19.710515746098807,2026-09-23
Palm Springs,CA,0655254,224,74,0.33035714285714285,44935.0,67451.0,5.425614776899967,23.347056859908758,2026-09-23
Palmyra,MO,2956036,7,7,1.0,3613.0,60694.0,5.175754220869083,0.22142264046498755,2026-09-23
Palo Alto,CA,0655282,30,40,1.3333333333333333,67901.0,214118.0,2.0426797838028894,7.304752507326843,2026-09-22
Palos Hills,IL,1757394,7,7,1.0,18278.0,79306.0,5.399934347302769,7.965860597439545,2026-09-22
Palos Park,IL,1757407,7,5,0.7142857142857143,4836.0,128370.0,2.4813895781637716,3.3085194375516958,2026-09-22
Park,KS,2054400,14,0,0.0,94.0,nan,0.0,2.127659574468085,2026-09-23
Park Ridge,IL,1757875,9,10,1.1111111111111112,39368.0,137964.0,0.9322292217029059,6.291912212964845,2026-09-22
Parker,CO,0857630,12,26,2.1666666666666665,58733.0,126615.0,1.5561949840804998,12.447857252311307,2026-09-23
Parma,OH,3961000,12,31,2.5833333333333335,80587.0,65848.0,4.544157246205963,7.305148473078784,2026-09-23
Parsons,KS,2054675,5,2,0.4,9564.0,48990.0,7.779171894604768,6.493099121706399,2026-09-23
Pasadena,CA,0656000,61,69,1.1311475409836065,137554.0,97818.0,7.70170260406822,35.28650566323044,2026-09-22
Pawtucket,RI,4454640,22,18,0.8181818181818182,75176.0,62799.0,14.77333191444078,25.82207087368309,2026-09-22
Paxton,IL,1758239,8,1,0.125,4225.0,59040.0,0.3076923076923077,5.088757396449704,2026-09-22
Payson,AZ,0453700,18,16,0.8888888888888888,16363.0,60095.0,0.5928008311434334,12.968282099859438,2026-09-23
Pearisburg,VA,5161208,2,2,1.0,2876.0,70905.0,9.735744089012517,0.5563282336578581,2026-09-23
Pekin,IL,1758447,54,40,0.7407407407407407,32075.0,52507.0,2.827747466874513,2.6344505066250976,2026-09-22
Peotone,IL,1759052,16,7,0.4375,4283.0,84375.0,0.23348120476301656,3.1053000233481205,2026-09-22
Petaluma,CA,0656784,4,11,2.75,59682.0,108527.0,1.2734157702489863,19.319057672330015,2026-09-22
Pflugerville,TX,4857176,32,23,0.71875,64528.0,111151.0,16.575750061988593,33.25688073394495,2026-09-22
Piedmont,CA,0656938,57,35,0.6140350877192983,11161.0,250001.0,0.6271839440910313,3.879580682734522,2026-09-23
Piedmont,OK,4058700,5,5,1.0,7629.0,86453.0,2.936164634945602,7.2486564425219555,2026-09-23
Pinehurst,NC,3751940,9,14,1.5555555555555556,17653.0,102917.0,1.5408145924205519,2.6624369795502183,2026-09-23
Pineville,NC,3752220,8,17,2.125,10532.0,55450.0,24.487276870489936,17.432586403342196,2026-09-23
Piperton,TN,4758840,7,8,1.1428571428571428,2350.0,120000.0,24.170212765957448,4.0,2026-09-22
Pittsboro,IN,1860192,13,6,0.46153846153846156,3814.0,118750.0,0.7079181961195595,1.5469323544834819,2026-09-23
Pittsboro,NC,3752660,4,5,1.25,4555.0,62513.0,21.163556531284303,6.695938529088913,2026-09-23
Pittsburg,KS,2056025,32,33,1.03125,20610.0,42371.0,2.809315866084425,10.684133915574964,2026-09-23
Plain City,OH,3963030,5,3,0.6,3644.0,86512.0,0.0,1.234906695938529,2026-09-23
Plainfield,IN,1860246,24,24,1.0,35078.0,77249.0,9.324933006442784,6.5938765037915505,2026-09-23
Platte City,MO,2958178,5,3,0.6,4781.0,58802.0,1.568709475005229,5.898347626019661,2026-09-22
Pleasant Hill,IA,1963525,6,6,1.0,10456.0,81992.0,4.839326702371844,5.709640397857689,2026-09-22
Pleasant Prairie,WI,5563300,8,19,2.375,21373.0,99635.0,1.922986946147008,8.955223880597014,2026-09-23
Pleasanton,CA,0657792,47,59,1.2553191489361701,78691.0,181639.0,1.5198688541256307,11.287186590588504,2026-09-23
Plymouth,MN,2751730,18,31,1.7222222222222223,79918.0,130131.0,4.816186591256037,4.520883906003654,2026-09-22
Plymouth,NC,3753040,17,6,0.35294117647058826,3315.0,24385.0,66.54600301659126,0.7239819004524887,2026-09-23
Pocatello,ID,1664090,36,39,1.0833333333333333,56582.0,56115.0,1.1911915450143156,9.57901806228129,2026-09-22
Pocomoke City,MD,2462475,8,6,0.75,4318.0,48609.0,42.19546086150996,2.6401111625752662,2026-03-26
Polk City,IA,1964020,5,2,0.4,5604.0,152536.0,0.6780870806566738,0.19628836545324768,2026-09-23
Polkton,NC,3753140,1,0,0.0,2937.0,47277.0,42.764725910793324,8.103506979911474,2026-09-23
Pomona,CA,0658072,70,58,0.8285714285714286,149831.0,73515.0,4.756692540262028,72.0758721492882,2026-09-23
Pontiac,IL,1761015,4,4,1.0,11451.0,55226.0,9.204436293773469,4.68081390271592,2026-09-22
Poquoson,VA,5163768,3,2,0.6666666666666666,12479.0,114503.0,1.8030290888693004,3.3977081496914816,2026-09-22
Port Clinton,OH,3964150,11,8,0.7272727272727273,6024.0,55534.0,3.3200531208499338,7.420318725099602,2026-09-23
Port Hueneme,CA,0658296,10,8,0.8,21847.0,71695.0,2.9431958621321006,62.9239712546345,2026-09-23
Port St. Joe,FL,1258675,9,3,0.3333333333333333,3533.0,59429.0,14.520237758279084,2.405887347863006,2026-09-23
Port Wentworth,GA,1362328,42,30,0.7142857142857143,11103.0,61409.0,50.598937224173646,11.303251373502658,2026-09-23
Portage,MI,2665560,31,32,1.032258064516129,48936.0,74837.0,4.7490599967304234,5.315105443845022,2026-09-23
Porterville,CA,0658240,12,13,1.0833333333333333,62491.0,55785.0,0.39365668656286507,72.07757917140069,2026-09-22
Portsmouth,VA,5164000,254,121,0.4763779527559055,97384.0,57154.0,50.98065390618582,5.0100632547441055,2026-09-22
Powell,OH,3964486,14,5,0.35714285714285715,14113.0,182736.0,1.2470771628994544,0.7298235669241125,2026-09-23
Prescott,AZ,0457380,34,37,1.088235294117647,46054.0,66330.0,0.6188387545055805,8.657228470925435,2026-09-22
Prior Lake,MN,2752594,18,12,0.6666666666666666,27608.0,129539.0,1.2279049550854824,3.6909591422776007,2026-09-23
Prospect Heights,IL,1762016,19,5,0.2631578947368421,15861.0,84459.0,1.191602042746359,31.782359245949184,2026-09-22
Prosper,TX,4859696,234,73,0.31196581196581197,31507.0,178224.0,7.4903989589615,10.042212841590757,2026-09-23
Prosser,WA,5356450,20,9,0.45,6138.0,64622.0,0.0,53.27468230694037,2026-09-22
Providence,RI,4459000,60,90,1.5,189715.0,61365.0,12.694831721266109,42.58440292016973,2026-09-22
Provo,UT,4962470,24,34,1.4166666666666667,114400.0,57943.0,0.7036713286713286,17.522727272727273,2026-09-23
Puyallup,WA,5356695,45,41,0.9111111111111111,42610.0,90592.0,3.6329500117343345,7.852616756629899,2026-09-22
Quincy,IL,1762367,21,22,1.0476190476190477,39441.0,54199.0,6.173778555310464,1.9015745036890546,2026-09-22
Quincy,MA,2555745,49,54,1.1020408163265305,100981.0,90668.0,6.0377694813875875,5.387152038502292,2026-09-23
Racine,WI,5566000,37,47,1.2702702702702702,77453.0,52766.0,21.134107135940507,23.36126425057777,2026-09-23
Radcliff,KY,2163912,17,14,0.8235294117647058,22981.0,54558.0,26.521909403420217,8.550541751881989,2026-09-22
Radford,VA,5165392,5,4,0.8,16379.0,51039.0,8.797850906648758,3.2419561633799376,2026-09-22
Raleigh,NC,3755000,29,105,3.6206896551724137,465517.0,78631.0,27.45979201618845,11.607954167087346,2026-09-22
Ramsey,MN,2753026,8,8,1.0,27774.0,110212.0,6.19284222654281,1.710232591632462,2026-09-22
Rantoul,IL,1762783,34,26,0.7647058823529411,12544.0,46078.0,22.488839285714285,14.540816326530612,2026-09-22
Reading,OH,3965732,4,2,0.5,10527.0,59966.0,7.181533200341978,4.227225230360027,2026-09-23
Red Oak,TX,4861196,6,9,1.5,14853.0,105309.0,34.50481384232142,18.238739648555846,2026-09-22
Redlands,CA,0659962,55,69,1.2545454545454546,73234.0,94473.0,4.949886664663954,37.63279351121064,2026-09-22
Redwood City,CA,0660102,25,41,1.64,83077.0,145620.0,1.8356464484755106,36.14237394224635,2026-09-23
Reedley,CA,0660242,40,16,0.4,25248.0,61629.0,1.0495880861850444,81.29752851711027,2026-09-23
Rehoboth Beach,DE,1060290,31,7,0.22580645161290322,1357.0,147273.0,0.07369196757553427,2.800294767870302,2026-09-22
Reno,NV,3260600,29,100,3.4482758620689653,265196.0,73073.0,3.2545739754747434,23.57426205523462,2026-09-23
Renton,WA,5357745,23,64,2.782608695652174,105355.0,92292.0,8.230269090218783,14.772910635470552,2026-09-23
Reynoldsburg,OH,3966390,38,47,1.236842105263158,40926.0,68778.0,29.370082588085815,7.249670136343645,2026-09-23
Rich Creek,VA,5166896,2,1,0.5,707.0,36875.0,1.4144271570014144,0.0,2026-09-23
Richland Hills,TX,4861844,4,4,1.0,8513.0,73601.0,2.7722307059790907,28.286150593210383,2026-09-23
Richmond,CA,0660620,188,76,0.40425531914893614,115619.0,86618.0,17.76524619655939,44.01179736894455,2026-09-22
Richmond Heights,MO,2961706,7,9,1.2857142857142858,9186.0,94384.0,7.4352275201393425,1.3281079904202047,2026-09-22
Richmond,TX,4861892,2,1,0.5,11931.0,51832.0,26.041404743944348,48.52904199145084,2026-09-23
