state,h_tract,w_tract,workers,flow_share,h_lat,h_lon,w_lat,w_lon,median_income,pop_total,nh_white,nh_black,hispanic,base_km,base_min,base_cameras,avoid_km,avoid_min,avoid_cameras,extra_km,extra_min,cameras_evaded
mi,26145011302,26049011505,2,0.0000005271,43.3575621,-83.7485103,43.0310195,-83.6255788,85350.0,4019.0,3764.0,0.0,216.0,43.174,46.065,1,43.6482,46.258,0,0.4742,0.193,1
al,01073012104,01073010706,38,0.0000211818,33.6350049,-86.9946308,33.4502957,-86.8337693,63333.0,2515.0,1097.0,1390.0,4.0,28.7839,28.1856,2,29.4765,29.5418,0,0.6926,1.3562,2
wi,55073001204,55009020704,4,0.0000015831,44.8198931,-89.5886734,44.4596719,-87.9845833,82876.0,4203.0,3938.0,0.0,118.0,162.042,110.1182,2,164.7888,117.5826,0,2.7468,7.4644,2
ut,49035113906,49049000601,7,0.0000046900,40.8113279,-112.084936,40.3429521,-111.7406245,66250.0,4926.0,2836.0,50.0,1461.0,74.7937,51.9409,2,74.7229,54.0785,0,-0.0708,2.1376,2
ia,19153004603,19049050816,66,0.0000521095,41.5337456,-93.6353514,41.5606615,-93.8015855,67604.0,4100.0,2717.0,739.0,338.0,19.4976,16.1123,5,20.1126,18.8555,0,0.615,2.7432,5
ri,44005040500,44005041000,198,0.0005190801,41.5074329,-71.3127431,41.479981,-71.3154886,44826.0,4636.0,2941.0,709.0,547.0,3.6536,5.4364,1,3.8143,5.2447,0,0.1607,-0.1917,1
al,01101003200,01101003303,33,0.0000183947,32.3061941,-86.2681672,32.3401951,-86.2370779,47300.0,6698.0,197.0,6284.0,0.0,8.092,12.1043,1,7.6156,12.8219,0,-0.4764,0.7176,1
in,18019050803,18019050703,101,0.0000370841,38.509164,-85.7985592,38.3824651,-85.7437896,104888.0,5811.0,5339.0,122.0,117.0,18.5992,16.0432,2,20.9292,23.661,0,2.33,7.6179,2
al,01055010900,01077010901,2,0.0000011148,34.1470152,-86.0149509,34.8293741,-87.6451877,70833.0,2083.0,1980.0,0.0,22.0,203.67,155.2335,3,204.9435,172.3579,0,1.2735,17.1244,3
ar,05007020701,05007020404,2,0.0000018792,36.4847655,-94.2003287,36.2985837,-94.1308125,85167.0,6229.0,5479.0,0.0,222.0,29.874,33.0864,3,33.2148,31.9964,0,3.3408,-1.09,3
ri,44007011701,44003022300,29,0.0000760269,41.9089103,-71.4138391,41.7003775,-71.5006431,73351.0,4849.0,3899.0,67.0,477.0,28.0443,26.3813,7,30.212,26.6222,0,2.1677,0.2409,7
in,18035002404,18035000902,270,0.0000991357,40.2065784,-85.4624347,40.2025512,-85.4051261,64712.0,4398.0,3778.0,81.0,63.0,5.9562,7.9832,1,6.1315,8.1939,0,0.1753,0.2107,1
ok,40109108532,40109108317,13,0.0000091131,35.6584718,-97.6267926,35.6282103,-97.4994808,163352.0,1509.0,1123.0,16.0,58.0,15.5106,15.9076,1,16.0206,16.8401,0,0.51,0.9325,1
