state,h_tract,w_tract,workers,flow_share,h_lat,h_lon,w_lat,w_lon,median_income,pop_total,nh_white,nh_black,hispanic,base_km,base_min,base_cameras,avoid_km,avoid_min,avoid_cameras,extra_km,extra_min,cameras_evaded
ga,13097080508,13067030700,10,0.0000023865,33.71803,-84.7529643,33.9598687,-84.5382553,68224.0,5080.0,1894.0,2103.0,664.0,40.6777,39.6342,18,42.7747,46.5565,1,2.0971,6.9223,17
ga,13121011507,13121011642,29,0.0000069207,34.1590505,-84.3406105,34.0849918,-84.2830668,245139.0,4333.0,3397.0,64.0,562.0,13.1917,19.1299,2,13.3284,21.0067,0,0.1367,1.8768,2
ga,13217100905,13121009605,4,0.0000009546,33.5262955,-84.0018235,33.8392433,-84.3740787,76754.0,5012.0,2556.0,1918.0,89.0,55.1743,58.94,23,66.0259,65.8906,0,10.8516,6.9506,23
ga,13279970201,13117130603,2,0.0000004773,32.2690221,-82.3716548,34.1145426,-84.2107577,62614.0,2786.0,2193.0,248.0,344.0,320.2054,228.5371,53,337.3901,289.8803,2,17.1847,61.3432,51
ga,13121001502,13121001302,25,0.0000059661,33.7790843,-84.3540917,33.776147,-84.3700095,87206.0,2127.0,1594.0,7.0,459.0,2.4275,3.149,1,2.2873,3.5726,0,-0.1402,0.4236,1
ga,13063040525,13063040309,2,0.0000004773,33.4980413,-84.3954969,33.643652,-84.3489428,57679.0,2885.0,92.0,2572.0,77.0,21.7315,23.3175,5,22.5232,28.9361,0,0.7916,5.6186,5
ga,13077170200,13247060305,10,0.0000023865,33.4180407,-84.8452054,33.6579388,-83.9777256,76071.0,8164.0,6072.0,778.0,878.0,102.195,68.1892,14,111.8173,124.3732,3,9.6223,56.184,11
ga,13121011514,13121008905,16,0.0000038183,34.1616701,-84.2962784,33.795239,-84.4230995,182394.0,3095.0,2369.0,230.0,171.0,50.9681,46.3542,20,52.8163,62.1515,2,1.8482,15.7973,18
ga,13059130500,13151070411,1,0.0000002386,33.9580368,-83.4977546,33.3546626,-84.1464653,69246.0,2906.0,1263.0,912.0,437.0,108.2628,91.1421,25,120.8437,115.8345,1,12.5809,24.6924,24
ga,13175950600,13175950500,85,0.0000202849,32.536134,-83.1164265,32.5278827,-82.9854174,61389.0,2145.0,1550.0,552.0,10.0,15.2132,16.9057,0,15.2132,16.9057,0,0.0,0.0,0
ga,13211010301,13073030603,1,0.0000002386,33.5986493,-83.4994157,33.520422,-82.101179,69412.0,3543.0,1934.0,1534.0,0.0,141.6752,90.3171,7,142.5622,94.7577,1,0.887,4.4406,6
ga,13077170102,13077170310,116,0.0000276829,33.3720286,-84.9409031,33.4049723,-84.7235761,81555.0,5747.0,4781.0,550.0,259.0,25.1115,26.0781,7,28.8368,32.7536,1,3.7253,6.6755,6
ga,13115001704,13115001800,55,0.0000131255,34.1157246,-85.1278803,34.1944148,-85.1783135,66212.0,2717.0,2529.0,162.0,0.0,12.0355,14.4629,0,12.0355,14.4629,0,0.0,0.0,0
ga,13073030105,13245010203,27,0.0000064434,33.5368381,-82.1004489,33.4753791,-82.0759791,95016.0,5116.0,3588.0,471.0,433.0,10.0125,11.1166,8,12.838,17.3763,0,2.8256,6.2598,8
ga,13089023211,13089021415,3,0.0000007159,33.7409095,-84.1891035,33.8397088,-84.3448974,67870.0,3850.0,79.0,3361.0,197.0,23.8901,24.3568,32,30.24,36.8776,0,6.3499,12.5208,32
ga,13129970202,13123080402,2,0.0000004773,34.5350445,-85.0513456,34.6270822,-84.5859418,83011.0,4696.0,3824.0,0.0,593.0,58.547,59.4467,0,58.547,59.4467,0,0.0,0.0,0
