date,state,cameras,per_100k
2026-07-24,dc,131,19.54
2026-07-24,de,367,36.94
2026-07-24,fl,8268,38.22
2026-07-24,ga,8229,76.75
2026-07-24,hi,59,4.07
2026-07-24,ia,868,27.22
2026-07-24,id,347,18.72
2026-07-24,il,6287,49.28
2026-07-24,in,3253,47.95
2026-07-24,ks,1853,63.11
2026-07-24,ky,1687,37.46
2026-07-24,la,1718,37.02
2026-07-24,ma,1069,15.31
2026-07-24,md,853,13.84
2026-07-24,me,58,4.24
2026-07-24,mi,3442,34.22
2026-07-24,mn,1370,24.05
2026-07-24,mo,3046,49.49
2026-07-24,ms,852,28.8
2026-07-24,mt,51,4.67
2026-07-24,nc,3245,30.99
2026-07-24,nd,128,16.48
2026-07-24,ne,456,23.28
2026-07-24,nh,67,4.86
2026-07-24,nj,1599,17.29
2026-07-24,nm,872,41.28
2026-07-24,nv,746,24.03
2026-07-24,ny,3931,19.66
2026-07-24,oh,6157,52.29
2026-07-24,ok,1292,32.54
2026-07-24,or,480,11.35
2026-07-24,pa,2176,16.75
2026-07-24,ri,276,25.22
2026-07-24,sc,1676,32.59
2026-07-24,sd,141,15.84
2026-07-24,tn,3012,43.5
2026-07-24,tx,14729,50.37
2026-07-24,ut,970,29.54
2026-07-24,va,2875,33.34
2026-07-24,vt,30,4.66
2026-07-24,wa,1911,24.86
2026-07-24,wi,2027,34.46
2026-07-24,wv,214,11.94
2026-07-24,wy,62,10.73
2026-09-22,ak,5,0.68
2026-09-22,al,2829,56.26
2026-09-22,ar,1068,35.38
2026-09-22,az,2696,37.59
2026-09-22,ca,20932,53.19
2026-09-22,co,2688,46.58
2026-09-22,ct,1013,28.05
2026-09-22,dc,151,22.52
2026-09-22,de,457,45.99
2026-09-22,fl,9797,45.28
2026-09-22,ga,9956,92.85
2026-09-22,hi,85,5.86
2026-09-22,ia,893,28.0
2026-09-22,id,463,24.97
2026-09-22,il,8483,66.49
2026-09-22,in,3696,54.48
2026-09-22,ks,2018,68.73
2026-09-22,ky,1915,42.53
2026-09-22,la,2088,44.99
2026-09-22,ma,1201,17.2
2026-09-22,md,1023,16.6
2026-09-22,me,65,4.76
2026-09-22,mi,3687,36.66
2026-09-22,mn,1516,26.62
2026-09-22,mo,3453,56.11
2026-09-22,ms,1149,38.83
2026-09-22,mt,87,7.97
2026-09-22,nc,3765,35.96
2026-09-22,nd,390,50.2
2026-09-22,ne,554,28.28
2026-09-22,nh,67,4.86
2026-09-22,nj,2410,26.06
2026-09-22,nm,1047,49.56
2026-09-22,nv,961,30.95
2026-09-22,ny,4452,22.27
2026-09-22,oh,6866,58.31
2026-09-22,ok,1493,37.6
2026-09-22,or,541,12.79
2026-09-22,pa,3737,28.77
2026-09-22,ri,325,29.7
2026-09-22,sc,2110,41.03
2026-09-22,sd,163,18.31
2026-09-22,tn,3619,52.27
2026-09-22,tx,17043,58.28
2026-09-22,ut,1063,32.37
2026-09-22,va,3454,40.05
2026-09-22,vt,30,4.66
2026-09-22,wa,2301,29.93
2026-09-22,wi,2134,36.28
2026-09-22,wv,246,13.72
2026-09-22,wy,72,12.46
