month,state,mapped_alpr
2023-12,ca,61
2023-12,co,0
2023-12,ct,0
2023-12,dc,0
2023-12,de,0
2023-12,fl,40
2023-12,ga,27
2023-12,hi,0
2023-12,ia,0
2023-12,id,0
2023-12,il,310
2023-12,in,5
2023-12,ks,18
2023-12,ky,1
2023-12,la,0
2023-12,ma,77
2023-12,md,2
2023-12,me,2
2023-12,mi,38
2023-12,mn,1
2023-12,mo,1
2023-12,ms,0
2023-12,mt,0
2023-12,nc,2
2023-12,nd,0
2023-12,ne,0
2023-12,nh,20
2023-12,nj,12
2023-12,nm,1
2023-12,nv,0
2023-12,ny,61
2023-12,oh,263
2023-12,ok,39
2023-12,or,0
2023-12,pa,24
2023-12,ri,0
2023-12,sc,0
2023-12,sd,0
2023-12,tn,0
2023-12,tx,10
2023-12,ut,0
2023-12,va,3
2023-12,vt,0
2023-12,wa,3
2023-12,wi,0
2023-12,wv,0
2023-12,wy,0
2024-01,ak,0
2024-01,al,1
2024-01,ar,0
2024-01,az,0
2024-01,ca,62
2024-01,co,0
2024-01,ct,0
2024-01,dc,0
2024-01,de,0
2024-01,fl,52
2024-01,ga,27
2024-01,hi,0
2024-01,ia,0
2024-01,id,0
2024-01,il,317
2024-01,in,5
2024-01,ks,18
2024-01,ky,1
2024-01,la,0
2024-01,ma,77
2024-01,md,2
2024-01,me,2
2024-01,mi,38
2024-01,mn,1
2024-01,mo,1
2024-01,ms,0
2024-01,mt,0
2024-01,nc,2
2024-01,nd,0
2024-01,ne,0
2024-01,nh,20
2024-01,nj,12
2024-01,nm,1
2024-01,nv,0
2024-01,ny,61
2024-01,oh,263
2024-01,ok,47
2024-01,or,0
2024-01,pa,24
2024-01,ri,0
2024-01,sc,0
2024-01,sd,0
2024-01,tn,0
2024-01,tx,61
2024-01,ut,0
2024-01,va,3
2024-01,vt,0
2024-01,wa,3
2024-01,wi,0
2024-01,wv,0
2024-01,wy,0
2024-02,ak,0
2024-02,al,1
2024-02,ar,0
2024-02,az,0
2024-02,ca,64
2024-02,co,0
2024-02,ct,0
2024-02,dc,0
2024-02,de,0
2024-02,fl,54
2024-02,ga,27
2024-02,hi,0
2024-02,ia,0
2024-02,id,0
2024-02,il,338
2024-02,in,6
2024-02,ks,18
2024-02,ky,1
2024-02,la,0
2024-02,ma,77
2024-02,md,2
2024-02,me,2
2024-02,mi,38
2024-02,mn,1
2024-02,mo,1
2024-02,ms,0
2024-02,mt,0
2024-02,nc,2
2024-02,nd,0
2024-02,ne,0
2024-02,nh,20
2024-02,nj,12
2024-02,nm,1
2024-02,nv,0
2024-02,ny,61
2024-02,oh,263
2024-02,ok,52
2024-02,or,0
2024-02,pa,24
2024-02,ri,0
2024-02,sc,0
2024-02,sd,0
2024-02,tn,0
2024-02,tx,75
2024-02,ut,0
2024-02,va,3
2024-02,vt,0
2024-02,wa,3
2024-02,wi,0
2024-02,wv,0
2024-02,wy,0
2024-03,ak,0
2024-03,al,1
2024-03,ar,0
2024-03,az,0
2024-03,ca,77
2024-03,co,0
2024-03,ct,0
2024-03,dc,0
2024-03,de,0
2024-03,fl,54
2024-03,ga,27
2024-03,hi,0
2024-03,ia,0
2024-03,id,0
2024-03,il,359
2024-03,in,6
2024-03,ks,20
2024-03,ky,1
2024-03,la,0
2024-03,ma,77
2024-03,md,2
2024-03,me,2
2024-03,mi,41
2024-03,mn,1
2024-03,mo,1
2024-03,ms,0
2024-03,mt,0
2024-03,nc,2
2024-03,nd,0
2024-03,ne,0
2024-03,nh,20
2024-03,nj,12
2024-03,nm,1
2024-03,nv,0
2024-03,ny,61
2024-03,oh,263
2024-03,ok,59
2024-03,or,0
2024-03,pa,22
2024-03,ri,0
2024-03,sc,0
2024-03,sd,0
2024-03,tn,0
2024-03,tx,79
2024-03,ut,0
2024-03,va,3
2024-03,vt,0
2024-03,wa,3
2024-03,wi,0
2024-03,wv,0
2024-03,wy,0
2024-04,ak,0
2024-04,al,1
2024-04,ar,0
2024-04,az,0
2024-04,ca,78
2024-04,co,0
2024-04,ct,0
2024-04,dc,0
2024-04,de,0
2024-04,fl,54
2024-04,ga,27
2024-04,hi,0
2024-04,ia,0
2024-04,id,0
2024-04,il,359
2024-04,in,6
2024-04,ks,39
2024-04,ky,1
2024-04,la,0
2024-04,ma,77
2024-04,md,2
2024-04,me,2
2024-04,mi,61
2024-04,mn,1
2024-04,mo,1
2024-04,ms,0
2024-04,mt,0
2024-04,nc,2
2024-04,nd,0
2024-04,ne,0
2024-04,nh,20
2024-04,nj,12
2024-04,nm,1
2024-04,nv,0
2024-04,ny,61
2024-04,oh,263
2024-04,ok,76
2024-04,or,0
2024-04,pa,22
2024-04,ri,0
2024-04,sc,0
2024-04,sd,0
2024-04,tn,0
2024-04,tx,83
2024-04,ut,0
2024-04,va,3
