state,h_tract,w_tract,workers,flow_share,h_lat,h_lon,w_lat,w_lon,median_income,pop_total,nh_white,nh_black,hispanic,base_km,base_min,base_cameras,avoid_km,avoid_min,avoid_cameras,extra_km,extra_min,cameras_evaded
wa,53053071403,53033030801,18,0.0000056478,47.1086836,-122.4515591,47.2882624,-122.2362214,75250.0,3849.0,2205.0,276.0,467.0,38.6661,33.6723,2,38.9574,33.6045,0,0.2913,-0.0678,2
va,51059491202,51059491802,3,0.0000009097,38.8406498,-77.4384615,38.8672075,-77.3962895,84583.0,1768.0,981.0,190.0,261.0,7.5807,9.303,0,7.5807,9.303,0,0.0,0.0,0
az,04027001100,04013104401,6,0.0000020849,32.67363,-114.6112962,33.5892316,-112.1082097,44100.0,6367.0,1536.0,35.0,4554.0,303.7829,191.723,4,306.1743,221.006,0,2.3914,29.283,4
nc,37021001700,37021002101,19,0.0000045134,35.6458553,-82.5155282,35.5350563,-82.5556527,109091.0,2983.0,2630.0,245.0,103.0,17.5096,26.9569,1,17.7164,27.4318,0,0.2068,0.4749,1
co,08035014015,08005006300,1,0.0000003937,39.5575189,-104.7882114,39.6313085,-104.983238,76239.0,3717.0,2878.0,81.0,493.0,22.2226,21.2061,10,24.7939,22.2692,0,2.5713,1.0631,10
co,08069001811,08069000801,4,0.0000015748,40.4234881,-105.1130254,40.5737317,-105.0624869,96505.0,2672.0,2462.0,0.0,187.0,21.2738,20.5692,3,21.0378,21.8153,0,-0.236,1.2461,3
co,08005006859,08031004110,12,0.0000047244,39.6177362,-104.8919336,39.7674283,-104.8640727,77390.0,3904.0,2109.0,73.0,602.0,19.1415,20.3209,5,20.1454,23.1989,0,1.0039,2.8779,5
oh,39093080600,39085203700,1,0.0000002065,41.3887781,-81.9864563,41.6212975,-81.3313644,75614.0,5587.0,5116.0,146.0,222.0,73.583,59.0862,3,73.0515,63.9207,1,-0.5315,4.8345,2
fl,12011040702,12011020314,3,0.0000003409,26.1419178,-80.1201155,26.265348,-80.258128,83047.0,3960.0,2131.0,433.0,1037.0,26.6951,26.4163,4,26.7918,28.2168,0,0.0967,1.8004,4
va,51710004300,51710004800,47,0.0000142527,36.8558356,-76.2646406,36.8469101,-76.2801795,26386.0,3367.0,57.0,3072.0,110.0,2.9352,4.6107,1,3.2182,5.038,0,0.283,0.4273,1
va,51041100206,51041100509,44,0.0000133429,37.454773,-77.5335008,37.320394,-77.3780635,87679.0,6513.0,3138.0,1993.0,836.0,27.8361,30.2939,6,30.0614,30.5766,0,2.2253,0.2827,6
mo,29023950800,29181870300,14,0.0000058532,36.7440671,-90.4268615,36.5766457,-90.8083698,46071.0,2537.0,2112.0,62.0,98.0,52.2986,50.2877,0,52.2986,50.2877,0,0.0,0.0,0
tx,48439113511,48439121704,3,0.0000002426,32.8237169,-97.1149563,32.7528767,-97.1041219,78438.0,4268.0,1657.0,1074.0,440.0,10.2285,10.4056,1,10.5543,11.5044,0,0.3258,1.0987,1
az,04013610903,04013614300,6,0.0000020849,33.7414632,-112.2720342,33.6918675,-112.1616595,161235.0,3360.0,2082.0,107.0,201.0,17.7799,19.3227,8,18.9079,21.888,1,1.128,2.5653,7
ny,36029003600,36029000200,4,0.0000004943,42.9163841,-78.8190746,42.8528428,-78.8279078,34637.0,2859.0,52.0,1906.0,339.0,8.0708,11.0593,5,9.0642,12.4072,0,0.9934,1.3479,5
ny,36047086200,36059301800,2,0.0000002471,40.6502164,-73.9282257,40.7849771,-73.6948789,58542.0,3112.0,48.0,2731.0,250.0,28.4271,27.1309,9,30.3614,36.985,0,1.9343,9.8541,9
nc,37119001701,37119980200,26,0.0000061763,35.211891,-80.7893958,35.1141093,-80.9312035,57004.0,4437.0,1722.0,1488.0,1058.0,22.0753,18.8625,0,22.0753,18.8625,0,0.0,0.0,0
ca,06037500900,06065044505,2,0.0000001189,33.9931522,-118.079233,33.821196,-116.3874317,50469.0,5625.0,342.0,64.0,4925.0,171.923,110.1704,8,174.916,117.442,1,2.993,7.2716,7
oh,39049008710,39049007966,8,0.0000016519,39.9376575,-82.9563066,39.9869674,-83.1472543,40385.0,2164.0,694.0,1396.0,0.0,20.0065,18.7894,3,21.1089,17.8686,0,1.1024,-0.9208,3
tn,47163041700,47179061500,36,0.0000130931,36.5842949,-82.586051,36.4130232,-82.4789739,44023.0,3500.0,3410.0,0.0,43.0,26.3061,21.4713,1,26.7404,25.5592,0,0.4343,4.0879,1
il,17031824123,17089854700,1,0.0000001890,41.5898448,-87.7989125,41.7537141,-88.3259868,97852.0,7648.0,5591.0,446.0,1067.0,59.4521,61.186,7,66.8599,63.0133,0,7.4078,1.8273,7
fl,12091021902,12091020400,13,0.0000014773,30.4365888,-86.6497489,30.7691662,-86.5327859,72088.0,6646.0,4020.0,746.0,900.0,49.7823,40.7414,10,66.5302,100.8354,0,16.7479,60.0941,10
pa,42085032900,42019910301,13,0.0000025199,41.1611089,-80.078273,41.0951294,-80.012118,76172.0,2953.0,2708.0,22.0,54.0,12.7,13.1013,0,12.7,13.1013,0,0.0,0.0,0
ny,36059405100,36005037600,1,0.0000001236,40.6921633,-73.7035043,40.8745386,-73.869205,140653.0,9554.0,1422.0,4702.0,1459.0,29.1,26.1527,10,29.2396,34.2775,2,0.1397,8.1248,8
tx,48439113931,48439113912,15,0.0000012130,32.9057569,-97.3237154,32.9366187,-97.201632,106649.0,14277.0,7006.0,1561.0,3104.0,14.8619,15.8798,0,14.8619,15.8798,0,0.0,0.0,0
tx,48113001601,48113020401,14,0.0000011321,32.8010361,-96.7896928,32.7820539,-96.7787611,45706.0,2440.0,711.0,883.0,650.0,2.8184,3.766,7,3.2228,5.4243,0,0.4043,1.6583,7
ca,06081600402,06085505100,4,0.0000002378,37.7051376,-122.4529104,37.362814,-121.9239928,134704.0,4688.0,294.0,13.0,1666.0,67.9836,50.1887,13,77.022,74.9804,0,9.0384,24.7918,13
