state,h_tract,w_tract,base_r30,base_r45,base_r60,base_r90,avoid_r30,avoid_r45,avoid_r60,avoid_r90
az,04013104222,04013104401,2,2,2,2,0,0,0,2
az,04013104225,04013813100,0,0,0,0,0,0,0,0
az,04013104226,04013111000,0,0,0,0,0,0,0,0
az,04013104226,04013115200,0,0,0,0,0,0,0,0
az,04013104302,04013104205,0,1,1,1,0,0,0,0
az,04013104302,04013616500,0,0,0,0,0,0,0,0
az,04013104302,04013815402,0,1,1,1,0,0,0,0
az,04013104401,04013216807,2,3,4,4,0,0,0,0
az,04013104401,04013614800,0,0,0,0,0,0,0,0
az,04013104402,04013318700,1,1,1,2,0,0,0,0
az,04013104502,04013092500,2,2,2,2,0,0,0,0
az,04013104502,04013810400,1,1,2,2,0,0,0,0
az,04013104702,04013103219,0,0,0,0,0,0,0,0
az,04013104702,04013103615,1,1,1,1,0,0,0,0
az,04013104702,04013110100,2,2,2,2,0,0,0,0
az,04013104702,04019004510,2,3,4,5,0,0,0,2
az,04013104802,04013103501,0,0,0,0,0,0,0,0
az,04013105101,04013108502,0,0,0,0,0,0,0,0
az,04013105103,04013216816,3,4,4,4,0,0,0,0
az,04013105300,04013110502,0,0,0,0,0,0,0,0
az,04013105300,04013320100,0,0,1,1,0,0,0,0
az,04013105602,04013109603,0,0,0,1,0,0,0,1
az,04013105701,04019004118,2,3,4,5,0,0,0,2
az,04013105702,04013106900,0,0,0,0,0,0,0,0
az,04013105800,04013107500,0,0,0,0,0,0,0,0
az,04013106002,04013104600,0,0,0,0,0,0,0,0
az,04013106002,04013114800,0,0,0,0,0,0,0,0
az,04013106002,04021001500,2,5,5,5,0,1,1,1
az,04013106100,04013110502,0,0,0,0,0,0,0,0
az,04013106100,04013110901,0,0,1,1,0,0,0,0
az,04013106100,04013319710,1,1,2,2,0,0,0,0
az,04013106200,04013112514,0,0,0,0,0,0,0,0
az,04013106200,04013319910,0,0,1,1,0,0,0,0
az,04013106300,04013103219,0,0,0,0,0,0,0,0
az,04013106300,04013319710,1,1,1,1,0,0,0,0
az,04013106400,04013116204,0,0,0,0,0,0,0,0
az,04013106501,04013113301,0,0,0,0,0,0,0,0
az,04013106502,04013421400,6,7,7,7,0,0,0,0
az,04013106702,04013112700,0,0,0,0,0,0,0,0
az,04013106703,04013319710,1,1,1,1,0,0,0,0
az,04013106703,04013320100,0,0,0,0,0,0,0,0
az,04013106801,04013110100,0,0,0,0,0,0,0,0
az,04013106900,04013613000,0,0,0,0,0,0,0,0
az,04013107002,04013110501,0,0,0,0,0,0,0,0
az,04013107101,04013093200,0,0,0,0,0,0,0,0
az,04013107102,04013112510,0,0,0,0,0,0,0,0
az,04013107102,04013113800,0,0,0,0,0,0,0,0
az,04013107102,04013116900,0,0,0,0,0,0,0,0
az,04013107202,04013107500,0,0,0,0,0,0,0,0
az,04013107202,04013115200,2,2,2,2,0,0,0,0
az,04013107300,04013112523,0,0,0,0,0,0,0,0
az,04013107401,04013114100,0,0,0,0,0,0,0,0
az,04013107402,04015953100,9,10,10,9,2,2,2,3
az,04013107403,04013319705,0,0,0,0,0,0,0,0
az,04013107500,04013106300,0,0,1,1,0,0,0,0
az,04013107700,04013422307,0,0,0,0,0,0,0,0
az,04013107800,04013108501,0,0,0,0,0,0,0,0
az,04013107800,04013216816,5,7,8,8,0,0,0,0
az,04013108200,04013103211,2,3,3,3,0,0,0,0
az,04013108200,04013114100,0,0,0,0,0,0,0,0
az,04013108301,04013114100,0,0,0,0,0,0,0,0
az,04013108400,04013614700,0,0,1,1,0,0,0,0
az,04013108501,04013108100,0,0,0,0,0,0,0,0
az,04013108501,04013115200,0,0,0,0,0,0,0,0
az,04013108601,04013110501,0,0,0,0,0,0,0,0
az,04013108901,04013113800,0,0,0,0,0,0,0,0
az,04013108902,04013110501,0,0,0,0,0,0,0,0
az,04013108902,04013113701,0,0,0,0,0,0,0,0
az,04013109002,04013104219,0,0,0,0,0,0,0,0
az,04013109002,04013107800,0,0,0,0,0,0,0,0
az,04013109003,04013114100,0,0,0,0,0,0,0,0
az,04013109101,04013109705,0,0,0,0,0,0,0,0
